year,operator,route,ac_type,collision,registration,all_aboard,passengers_on_board,crew_aboard,passenger_fatalities,crew_fatalities,on_air_fatalities,ground,total_fatalities,countries,summary
2007,Africa One Congo,Kinshasa - Tshikapa,Antonov An-26,0,9Q-Cos,22,17,5,17,4,21,30,51,Democratic Republic of the Congo,While attempting to take off the No. 2 engine failed. The cargo plane crashed into a Congolese neighborhood and caught fire about three miles from the airport. The plane's mechanic was the only survivor aboard the plane.
2007,Nacional De Aviacion,Villavicencio - Uribe,Let 410 Uvp-E10A,0,Hk-4055,17,15,2,15,2,17,0,17,Colombia,Disappeared while en route.
2007,Juba Air Cargo,Khartoum - Juba,Antonov 12,0,St-Jua,4,0,4,0,0,0,2,2,Sudan,"While taking off, an engine on the cargo plane failed after the plane hit a hawk. The aircraft tried to return to the airport but crashed. The plane was transporting goods and foodstuffs for traders and international organizations in Juba. Two Sudanese soldiers were killed on the ground."
2007,Atlasjet Airlines,Istanbul - Isparta,Mcdonnell Douglas Md-83,0,Tc-Akm,57,50,7,50,7,57,0,57,Turkey,"While making an approach to land, the passenger plane struck a mountaintop and broke apart, 7.5 miles from Isparta Airport. The accident was caused by pilot error as a result of the condition known as spatial disorientation. The pilot is believed to have lost the sight of line for the horizon and instead of trusting the flight instruments, diverted the aircraft to the route where the crash occurred."
2007,"Evergreen Alaska Helicopters, Inc.",Cordova - Ancorage,Eurocopter Deutschland Bk117C1,0,N141Lg,4,3,1,3,1,4,0,4,United States,"Crashed into the sea while en route. The pilot's decision to continue VFR flight into night instrument meteorological conditions. Contributing to the accident were the operator's failure to adhere to an FAA-approved and mandated safety risk management program, the FAA's failure to provide sufficient oversight of the operator to ensure they were in compliance with the risk management program, the pilot's lack of experience in night winter operations in Alaska, and the operator's lack of an EMS dispatch and flight following system."
2007,Castle Aviation,"Columbus, Oh - Buffalo, Ny",Cessna 208B Caravan I Super Cargomaster,0,N28Mg,2,1,1,1,1,2,0,2,United States,"The cargo plane crashed into a brushy field, inverted, shortly after taking off in heavy snow. Radar data indicated that it was in a left turn at a ground speed of 109 knots before descending and impacting terrain. The plane was carrying checks and other goods for a banking customer. The pilot's failure to maintain aircraft control and collision avoidance with terrain due to spatial disorientation. Contributing to the accident were low cloud ceiling and night conditions."
2008,Transaven,Los Rogues - Carac,Let 410 Uvp-E3,0,Yv2081,18,16,2,16,2,18,0,18,Venezuela,The commuter airliner crashed into the sea while en route after the pilot reported engine problems.
2008,Military - Macedonian Air Force,"Bosnia - Skopje, Macedonia",Mi-17 Helicopter,0,Vam-304,11,10,1,10,1,11,0,11,Macedonia,The helicopter crashed 15 miles southeast of Skopje in heavy fog while attempting to land. The aircraft was returning from European Union-led peacekeeping operations in Bosnia.
2008,British Airways,"Bejing, China - London, England",Boeing 777-236Er,0,G-Ymmm,152,136,16,0,0,0,0,0,United Kingdom,"The aircraft was on approach for landing on Runway 27L at Heathrow Airport when at a height of approximately 600 ft and 2 miles from touch down the aircraft descended rapidly and struck the ground, 1,000 ft. short of the paved runway surface, just inside the airfield boundary fence. An investigation showned that the fuel flow to both engines was restricted; most probably due to ice within the fuel feed system. The ice is likely to have formed from water that occurred naturally in the fuel, and should have been melted by the fuel-oil heat exchanger (FOHE).  However, the FOHE did not heat its own inlet  face, and investigation showed that, although the flight was   within the certified operational envelope at all times, a long   period of low fuel flow in an unusually cold environment, followed  by a throttle increase, could cause an ice jam at that point. Corrections in design were made so this would not occur again."
2008,Military - Polish Air Force,Warsaw - Miroslawiec,Casa C-295M,0,019,20,16,4,16,4,20,0,20,Poland,"While attempting to land, the plane fell to the ground from about 500-650 feet and crashed into a wooded area, 2 miles from the airport."
2008,Dirgantara Air Service,Tarakan - Long Apung,Casa Nc-212-200,0,Pk-Vse,3,0,3,0,3,3,0,3,Indonesia,The cargo plane crashed while en route.
2008,Santa Barbara Airlines,Merida - Caracas,Atr-42-300,0,Yv-1449,46,43,3,43,3,46,0,46,Venezuela,"Struck a mountain at 13,500 feet and disintegrated shortly after departing Merida. The pilots took off fromMerida without waiting for the navigation system to properly initialize. Consequently, they became disoriented in the mountainous terrain surrounding the airport, crashing into the side of a mountain while trying to determine their location."
2008,Bhs - Brazilian Helicopter Service Air Taxi,Oil Rig P18 - Macae,Eurocopter  As332L2 Super Puma,0,Pp-Mum,20,17,3,4,1,5,0,5,Argentina,"Less than half minute after the taking-off from the Oil Rig P-18,  and while still in low altitude, a failure in the tail rotor caused loss of control of the aircraft by the crew. The helicopter crashed in the sea."
2008,Blue Wing Airlines,Paramaribo - Lawa,Antonov An-28,0,Pz-Tso,19,17,2,17,2,19,0,19,Suriname,While attempting to land the crew aborted the the approach and executed a go-around. Soon after the plane flew into a hillside.
2008,Avtex Air Services,Sydney - Brisbane,Swearingen Sa227Ac Metroliner Iii,0,Vh-Oza,1,0,1,0,1,1,0,1,Australia,The pilot of the mail plane reported some minor problems before the aircraft disapppeared off radar.
2008,Kata Transportation,"Chrisinau, Moldova - Antalya, Turkey - Sudan",Antonov An-32,0,St-Azl,8,0,8,0,8,8,0,8,Moldova,"Just minutes after the take off the plane tried to return to the airport because of engine problems, but crashed about 100 metres away from the runway. Pilots tried to land the transport, which was carrying a cargo of 2.3 tons of fuel, but a wing struck a fence and electrical wires and the plane crashed and burst into flames. All eight crew members aboard were killed"
2008,Hewa Bora Airways,Goma - Kisangani - Kinshasa,Mcdonnell Douglas Dc-9-51,0,9Q-Chn,85,79,6,0,0,0,47,47,Congo,"While attempting to takeoff, the plane failed to reach takeoff speed, overran the runway, proceeded through a perimeter fence and cashed into a crowded market."
2008,Military - Government Of Equatorial Guinea,Bata - Annobon Island,Antonov An-32B,0,3C-5Ge,13,8,5,8,5,13,0,13,Equatorial Guinea,Crashed into the ocean after skidding off the runway in high winds and heavy rain.
2008,Chelan Air Service,Chelan - Stehekin,De Havilland Canada Dhc-2 Mark I Beaver,0,N5998Q,5,4,1,2,0,2,0,2,United States,The float plane flipped and crashed as it attempted to land in Lake Chelan near Stehekin Lodge. It appeared the plane's wheels were deployed even though it was landing on water. The pilot's failure to retract the landing gear wheels prior to performing a water landing. Contributing to the accident were the pilot's disabling of the landing gear warning/advisory system and possible fatigue due to his work schedule.
2008,Island Express Helicopter Service,Long Beach - Two Harbors,Eurocopter As350D Astar,0,N67Ge,6,5,1,3,1,4,0,4,United States,The tour helicopter crashed near Banning House lodge in rain and poor visibility. The engine appears to have failed. Loss of engine power during approach for landing due to a fatigue fracture of a power turbine blade.
2008,Moskovia Airlines,Chelyabinsk - Perm,Antonov An-12,0,Ra-12957,9,0,9,0,9,9,0,9,Russia,"The crew of the cargo plane reported a fire shortly after taking off from Chelyabinsk. The plane crashed in a field while attempting to make an emergency landing, after striking a power transmission line."
2008,Military - Servicio Aereo Nacional,Tocumen - Colon,Bell Un-1N Huey,0,San-100,12,9,3,9,2,11,0,11,Panama,"Chile's national police chief General Jose Alejandro Bernales, 59, and five others were killed when their helicopter crashed into a three story building. The helicopter pitched wildly before crashing into the building."
2008,Taca International Airlines,"San Salvador, El Salvador - Tegucigalpa, Honduras - Miami",Airbus A-320-233,0,Ei-Taf,136,131,5,2,1,3,2,5,Honduras,"After making a missed approach and during the second attempt at landing at Toncontin Airport, the plane overran the runway, skidded across a street, struck cars and came to rest against an embankment. The runway was wet with rain from Tropical Storm Alma."
2008,Phi Air Medical,Huntsville-Houston,Bell 407,0,N416Ph,4,1,3,1,3,4,0,4,United States,"The medical helicopter crashed into the Sam Houston National Forest while transporting a patient to a Houston hospital. The pilot's failure to identify and arrest the helicopter's descent, which resulted in its impact with terrain. Contributing to the accident was the pilot's inadvertent flight into instrument meteorological conditions, and the limited outside visual reference due to the dark night conditions, low clouds, and fog."
2008,Sudan Airways,Aman - Damascus - Khartoum,Airbus A-310-324,0,St-Atn,214,203,11,31,1,32,0,32,Sudan,"While landing in poor weather, the plane skidded off the runway, hit navigation poles and burst into flames. The plane had flown from Amman via Damascus but been turned back once from Khartoum and forced to land in Port Sudan, on the Red Sea, because of bad weather, before being allowed to return to Khartoum. The accident was due to a long flaring distance (900 meters from R/W threshold) on a wet slippery runway without selecting Auto brake and with one deactivated engine reverse in such rainy conditions. The remaining available landing distance turned out to be too short to allow the captain to stop the aircraft before the end of the runway."
2008,Wiggins Airways,Hyannis - Nantucket,De Havilland Canada Dhc-6 Twin Otter 100,0,N656Wa,1,0,1,0,1,1,0,1,United States,"The cargo plane took off, reached about 200 feet, rolled over to the right and impacted the ground, nose first. The pilot's failure to remove the flight control lock prior to takeoff. Contributing to the accident was the FAA's failure to issue an airworthiness directive making the manufacturer's previously issued flight control lock service bulletins mandatory."
